objectid,lad19cd,local_authority,la_welsh,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
188,E07000171,Bassetlaw, ,468073,384835,-0.97869998,53.35599899,639492659,155040.4128
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654008,51.35599899,351123213.8,141684.8142
52,E06000055,Bedford, ,505721,256463,-0.45462999,52.19630051,476408299.2,131721.2686
320,N09000003,Belfast, ,146465,529747,-5.92535019,54.5984993,137716630.5,65908.65383
288,E09000004,Bexley, ,549202,175433,0.146212,51.45819855,64286457.79,43418.85191
272,E08000025,Birmingham, ,408150,287352,-1.88141,52.48400116,267791059.9,106260.7202
152,E07000129,Blaby, ,454385,297994,-1.19886994,52.57709885,130468676.9,100819.9669
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.46359992,53.70080185,137022079.7,65284.97098
9,E06000009,Blackpool, ,332763,436633,-3.02284002,53.82160187,43150770.09,36304.96402
377,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75360107,108728050,65601.77107
73,E07000033,Bolsover, ,448666,371548,-1.27227998,53.23880005,160334649.8,96239.20256
249,E08000001,Bolton, ,368352,409873,-2.47952008,53.58449936,139792042.6,82647.15773
159,E07000136,Boston, ,526851,343953,-0.11218,52.97790146,397792715.8,114897.5162
55,E06000058,"Bournemouth, Christchurch and Poole", ,410815,94067,-1.84807003,50.74610138,173579881.9,90305.91262
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.41130066,109384210.3,62508.0775
279,E08000032,Bradford, ,408395,438626,-1.87389004,53.84379959,366419742,135920.6132
94,E07000067,Braintree, ,577253,227335,0.57591099,51.91630173,611707973.5,168686.4359
166,E07000143,Breckland, ,591015,303330,0.81871599,52.59420013,1305116639,239527.7536
289,E09000005,Brent, ,519615,186468,-0.27568001,51.56439972,43232647.41,38334.1081
95,E07000068,Brentwood, ,558560,196070,0.29009101,51.64110184,153124048.3,72339.49998
372,W06000013,Bridgend,Pen-y-bont ar Ogwr,288242,185868,-3.61359,51.56060028,255311501.4,89760.95724
41,E06000043,Brighton and Hove, ,530279,106849,-0.15079001,50.8465004,85376800.06,58333.27353
23,E06000023,Bristol City of, ,359990,174846,-2.57742,51.47109985,235328573.6,145315.901
167,E07000144,Broadland, ,619865,315909,1.25232995,52.69620132,553244221.7,202159.0216
290,E09000006,Bromley, ,542036,165708,0.039246,51.37269974,150134859.4,76164.24257
236,E07000234,Bromsgrove, ,399840,273736,-2.0037601,52.36169815,216968481.1,113135.4467
122,E07000095,Broxbourne, ,534742,204251,-0.05073,51.72079849,51442303.6,39068.74579
189,E07000172,Broxtowe, ,449829,341893,-1.25943995,52.9720993,80098837.13,65999.8328
140,E07000117,Burnley, ,384886,430882,-2.23079991,53.77410126,110684000.2,57764.57058
250,E08000002,Bury, ,379658,410768,-2.30879998,53.5931015,99460126.9,68541.75979
376,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753003,51.65000153,277387812.5,116205.7514
280,E08000033,Calderdale, ,402617,424896,-1.96182001,53.72050095,363960989.5,107687.4581
61,E07000008,Cambridge, ,545420,257901,0.126436,52.20019913,40698794.93,37170.44317
291,E09000007,Camden, ,527492,184284,-0.16289,51.54309845,21789299.88,26150.81838
202,E07000192,Cannock Chase, ,401261,311553,-1.98276997,52.7016983,78882570.49,50127.60445
129,E07000106,Canterbury, ,616026,158096,1.09625995,51.28099823,320889412.2,120523.1542
374,W06000015,Cardiff,Caerdydd,315270,178887,-3.22212005,51.50249863,149511253.1,70553.58306
68,E07000028,Carlisle, ,348444,565195,-2.80704999,54.97869873,1054358247,218519.6704
369,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111001,51.89500046,2438947046,362828.45
96,E07000069,Castle Point, ,579490,187921,0.58808398,51.56159973,63698512.26,45414.00004
321,N09000004,Causeway Coast and Glens, ,106168,581420,-6.59959984,55.03960037,1985534511,381750.4174
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47753999,51.99900055,715665302.2,232692.7177
367,W06000008,Ceredigion,Ceredigion,267126,268437,-3.94993997,52.29800034,1805867361,325612.8356
153,E07000130,Charnwood, ,458365,316155,-1.13694,52.73989868,279042271.3,115474.3909
97,E07000070,Chelmsford, ,572115,206972,0.49116299,51.73500061,342997299.3,113219.4086
105,E07000078,Cheltenham, ,394925,222232,-2.07515001,51.89860153,46596069.22,38231.06396
194,E07000177,Cherwell, ,449301,221201,-1.28506005,51.8871994,588741168.4,225626.2572
46,E06000049,Cheshire East, ,380510,363462,-2.29298997,53.16790009,1166357380,301225.3774
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298004,53.16339874,941207273,258518.4877
74,E07000034,Chesterfield, ,440049,373359,-1.40114999,53.25569916,66035290.69,52617.76725
231,E07000225,Chichester, ,490285,116600,-0.71630001,50.94179916,811873386.7,169615.6717
58,E07000005,Chiltern, ,495432,198692,-0.62111998,51.67890167,196348229.8,87262.67791
141,E07000118,Chorley, ,359189,419724,-2.61921,53.67240143,202905460.9,95556.92851
350,S12000036,City of Edinburgh, ,320193,669416,-3.27825999,55.91120148,273004212.6,110748.3357
285,E09000001,City of London, ,532382,181358,-0.09351,51.5155983,3149382.73,9601.690722
329,S12000005,Clackmannanshire, ,291159,696335,-3.7534399,56.14720154,163912627.3,83968.80248
98,E07000071,Colchester, ,596944,223692,0.85977602,51.8769989,346713305.5,130441.7835
363,W06000003,Conwy,Conwy,283293,362562,-3.74645996,53.1473999,1153483600,242526.9866
69,E07000029,Copeland, ,310871,508741,-3.37664008,54.46620178,775821426.6,165748.3145
173,E07000150,Corby, ,487862,290681,-0.7069,52.50699997,80280903.14,66291.63153
49,E06000052,Cornwall, ,212501,64494,-4.64248991,50.45019913,3613442432,786376.5746
106,E07000079,Cotswold, ,402125,208209,-1.97059,51.77249908,1164524415,332445.3241
45,E06000047,County Durham, ,410381,532242,-1.8405,54.68510056,2232698645,309346.8071
273,E08000026,Coventry, ,432807,279689,-1.51908004,52.41419983,98639059.79,54057.38131
180,E07000163,Craven, ,389513,461989,-2.16167998,54.05379868,1178807442,199883.7698
232,E07000226,Crawley, ,526390,137581,-0.19532999,51.12360001,44971204.97,38799.72328
292,E09000008,Croydon, ,533922,164745,-0.07761,51.36600113,86494438.88,58703.92437
123,E07000096,Dacorum, ,500084,208745,-0.55097997,51.76850128,212476397.7,110103.8309
5,E06000005,Darlington, ,428029,515648,-1.56834996,54.53530121,197475689,107206.4017
130,E07000107,Dartford, ,556167,172917,0.245276,51.43370056,76310424.52,52447.18216
174,E07000151,Daventry, ,467286,268437,-1.01446998,52.30989838,665600468.9,181982.945
364,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.0882988,846380174.1,220778.4485
15,E06000015,Derby, ,435609,335375,-1.47188997,52.91460037,78031124.3,50037.73553
75,E07000035,Derbyshire Dales, ,419697,358493,-1.70711005,53.12329865,795318063.2,245475.8469
322,N09000005,Derry City and Strabane, ,51779,559566,-7.42063999,54.80899811,1251241563,271488.9563
265,E08000017,Doncaster, ,459167,403735,-1.10894001,53.52700043,568551285.4,135159.8984
56,E06000059,Dorset, ,370871,99796,-2.41466999,50.79700089,2521278111,411414.8288
131,E07000108,Dover, ,628967,150940,1.27692997,51.21170044,320827245.7,114701.8047
274,E08000027,Dudley, ,393191,288584,-2.10171008,52.49509811,97958242.97,75382.32965
330,S12000006,Dumfries and Galloway, ,270645,579857,-4.02862978,55.09619904,6676046594,847052.7665
355,S12000042,Dundee City, ,340291,732145,-2.97094989,56.4776001,62223754.36,54000.7562
293,E09000009,Ealing, ,517057,181960,-0.31406999,51.5243988,55544347.22,47439.02631
331,S12000008,East Ayrshire, ,255398,624935,-4.29056978,55.49670029,1270341775,340970.8923
62,E07000009,East Cambridgeshire, ,555577,275765,0.28316301,52.35789871,651720399.9,192583.1384
80,E07000040,East Devon, ,313775,96055,-3.22380996,50.75759888,823704673.6,220878.8772
356,S12000045,East Dunbartonshire, ,261240,676154,-4.22417021,55.95830154,174489016.8,99603.05458
112,E07000085,East Hampshire, ,474404,129237,-0.93971002,51.05770111,514432074.9,144540.7915
244,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.8647995,475669216.6,135188.8943
160,E07000137,East Lindsey, ,534862,376106,0.020549,53.26480103,1831072768,216618.2078
332,S12000010,East Lothian, ,354854,672351,-2.72434998,55.94210052,700937343.5,199851.9626
175,E07000152,East Northamptonshire, ,501344,287839,-0.50919998,52.47909927,509787257.6,163229.12
333,S12000011,East Renfrewshire, ,251929,653115,-4.36059999,55.74869919,174249494.3,93882.514
11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66202998,53.88119888,2494795371,372194.313
203,E07000193,East Staffordshire, ,412601,326569,-1.81438005,52.83649826,389985151.1,183775.7574
246,E07000244,East Suffolk, ,636039,266218,1.45608997,52.24349976,1295486850,242512.7228
88,E07000061,Eastbourne, ,559351,99605,0.258699,50.77410126,45529050.04,39868.80349
113,E07000086,Eastleigh, ,447202,116802,-1.32942998,50.94869995,85267985.05,67974.10794
70,E07000030,Eden, ,359636,526396,-2.62678003,54.6310997,2156474495,268725.444
213,E07000207,Elmbridge, ,511882,163658,-0.39441001,51.36100006,96334275.39,52206.12637
294,E09000010,Enfield, ,532829,196197,-0.08147,51.64889908,82200189.55,41064.64929
99,E07000072,Epping Forest, ,548919,203758,0.154147,51.71279907,338984123.9,123273.1978
214,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.33950043,34079152.96,28503.70086
76,E07000036,Erewash, ,443721,338063,-1.35090005,52.9382019,109630046.2,73547.56002
81,E07000041,Exeter, ,293236,92003,-3.51372004,50.71780014,47888333.33,37265.58157
335,S12000014,Falkirk, ,289661,679536,-3.77060008,55.99599838,314933499.6,125315.3221
114,E07000087,Fareham, ,453774,106324,-1.23741996,50.85390091,77799779.66,55124.58475
63,E07000010,Fenland, ,536361,294959,0.009016,52.53540039,547355396.7,153633.5283
323,N09000006,Fermanagh and Omagh, ,41233,513013,-7.52710009,54.3852005,3012114877,426624.235
357,S12000047,Fife, ,339197,704726,-2.98235011,56.23120117,1373917297,366243.8923
365,W06000005,Flintshire,Sir y Fflint,321564,369303,-3.17604995,53.21500015,489439498.6,149719.5173
135,E07000112,Folkestone and Hythe, ,610318,134597,1.00080001,51.07220078,365515089.2,150085.4715
107,E07000080,Forest of Dean, ,367175,212759,-2.47755003,51.8125,561432343.5,191633.6293
142,E07000119,Fylde, ,339562,433812,-2.91901994,53.79710007,182633355.4,77746.20222
284,E08000037,Gateshead, ,420168,559658,-1.6868,54.93119812,144079851.5,79723.07151
190,E07000173,Gedling, ,459184,347811,-1.11907005,53.02429962,119981505,69754.67376
359,S12000049,Glasgow City, ,261534,667033,-4,60,176353768,108654.0791
108,E07000081,Gloucester, ,384071,216449,-2.23263001,51.84640121,40826626.65,31282.63695
115,E07000088,Gosport, ,458773,101094,-1.16725004,50.8064003,27577825.58,25740.15087
132,E07000109,Gravesham, ,566969,169115,0.39874399,51.39649963,104958775.6,59362.04493
168,E07000145,Great Yarmouth, ,646760,315882,1.64950001,52.68439865,182472024.2,85736.29577
295,E09000011,Greenwich, ,542508,175881,0.050108,51.4640007,50441941.32,45579.70064
215,E07000209,Guildford, ,500408,151481,-0.56256998,51.25370026,270931189.7,128414.4964
362,W06000002,Gwynedd,Gwynedd,277968,334967,-3.8155899,52.89830017,2622378524,465995.5224
296,E09000012,Hackney, ,534560,185787,-0.06045,51.55490112,19049030.35,25382.81556
6,E06000006,Halton, ,354246,382146,-2.68852997,53.33420181,90321525.3,60716.96113
181,E07000164,Hambleton, ,443009,490546,-1.34048998,54.30870056,1311228140,298519.898
297,E09000013,Hammersmith and Fulham, ,523866,177998,-0.21736,51.48740005,17154069.53,23938.85826
154,E07000131,Harborough, ,474549,293875,-0.90228999,52.53770065,592692049.7,185950.912
298,E09000014,Haringey, ,531262,189349,-0.10667,51.58769989,29598385.16,29025.17909
100,E07000073,Harlow, ,545276,209589,0.103888,51.76610184,30537916.29,28515.4568
182,E07000165,Harrogate, ,427473,464652,-1.58160996,54.07709885,1309127593,246964.6242
299,E09000015,Harrow, ,515356,189736,-0.33603001,51.59469986,50463306.79,33735.4607
116,E07000089,Hart, ,477985,154240,-0.88321,51.2820015,215265080.3,77847.82955
1,E06000001,Hartlepool, ,447157,531476,-1.27023005,54.67620087,98441691.62,65270.26013
89,E07000062,Hastings, ,581599,110745,0.57942897,50.86769867,30831903.24,35537.46173
117,E07000090,Havant, ,470177,108563,-1.00399995,50.87229919,79099460.3,55492.80343
300,E09000016,Havering, ,555032,187514,0.235368,51.56520081,114457261.1,63860.93408
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931003,52.08150101,2179709443,349889.4433
124,E07000098,Hertsmere, ,519774,199352,-0.26899001,51.68019867,101128162.7,61228.16385
77,E07000037,High Peak, ,410474,387660,-1.84397995,53.38570023,540253999.8,159632.9988
336,S12000017,Highland, ,241026,858306,-4.66091013,57.58670044,26472923111,4937894.664
301,E09000017,Hillingdon, ,508166,183120,-0.44182,51.53659821,115700538.6,63887.01474
155,E07000132,Hinckley and Bosworth, ,439538,301379,-1.41754997,52.60879898,297349281,111596.3782
233,E07000227,Horsham, ,513676,123839,-0.38123,51.00270081,530962112,157501.1518
302,E09000018,Hounslow, ,512744,174965,-0.37843999,51.46239853,56585441.08,57608.50006
64,E07000011,Huntingdonshire, ,521010,274271,-0.22466999,52.35319901,912545831.5,222221.6434
143,E07000120,Hyndburn, ,374407,428971,-2.38964009,53.75650024,72997474.39,42655.49111
337,S12000018,Inverclyde, ,227922,670899,-4.75387001,55.90029907,173627426.9,75332.09912
211,E07000202,Ipswich, ,616954,244670,1.16327,52.05789948,40300126.84,36991.93151
361,W06000001,Isle of Anglesey,Ynys Môn,245222,378346,-4.32290983,53.27939987,749022718.1,250272.3634
44,E06000046,Isle of Wight, ,447183,85949,-1.33366001,50.67129898,392829441.4,124905.7481
50,E06000053,Isles of Scilly, ,91327,11447,-6.3021698,49.9233017,22849391.45,176560.5959
303,E09000019,Islington, ,531158,184647,-0.10992,51.54550171,14856651.42,20727.85737
304,E09000020,Kensington and Chelsea, ,525757,179053,-0.18976,51.49639893,12383792.88,21002.59269
176,E07000153,Kettering, ,483866,282852,-0.76773,52.43719864,233489923.7,100689.5011
169,E07000146,King's Lynn and West Norfolk, ,571220,315805,0.53325802,52.71279907,1527658902,287332.8382
10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.30379999,53.76979828,81497511.1,45997.55287
305,E09000021,Kingston upon Thames, ,519508,167389,-0.28367001,51.39300156,37261179.92,37553.14526
281,E08000034,Kirklees, ,414586,416223,-1.78085005,53.64229965,408551664.1,125668.5314
259,E08000011,Knowsley, ,344762,393778,-2.8329699,53.43790054,86500060.76,68167.36916
306,E09000022,Lambeth, ,531118,175626,-0.11385,51.46440125,27249336.34,34179.58334
144,E07000121,Lancaster, ,356896,464988,-2.66030002,54.07899857,654210112.2,179857.2915
282,E08000035,Leeds, ,432528,436384,-1.50735998,53.8227005,551706537.4,161521.9092
16,E06000016,Leicester, ,458946,304594,-1.13039994,52.63589859,73342074.19,51932.00335
90,E07000063,Lewes, ,541474,105685,0.007671,50.83340073,294389317.9,115467.6141
307,E09000023,Lewisham, ,537889,173344,-0.01733,51.44229889,35317029.56,41088.60785
204,E07000194,Lichfield, ,416283,310967,-1.76048994,52.69620132,331294334,127468.4067
161,E07000138,Lincoln, ,496347,370096,-0.55848002,53.21920013,35690272.58,32969.8766
324,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03544998,54.49750137,510438068.2,167383.5239
260,E08000012,Liverpool, ,339361,390553,-2.91364002,53.40829849,133533740.5,67269.7437
30,E06000032,Luton, ,508606,222559,-0.42319,51.89099884,43352491.65,34569.65312
133,E07000110,Maidstone, ,580489,151670,0.58406103,51.2356987,393350743.2,121874.3738
101,E07000074,Maldon, ,591460,212199,0.773857,51.77569962,426688536.9,110634.3926
237,E07000235,Malvern Hills, ,377465,252197,-2.33088994,52.16759872,577070981.8,230605.757
251,E08000003,Manchester, ,384591,397063,-2.23358989,53.4701004,115648232.4,86851.21684
191,E07000174,Mansfield, ,455047,363637,-1.17804003,53.16699982,76696898.59,51090.85716
33,E06000035,Medway, ,578207,175196,0.563173,51.4477005,269063686.9,92535.7941
156,E07000133,Melton, ,477328,323472,-0.85439998,52.80329895,481380515.2,140629.641
199,E07000187,Mendip, ,362238,144090,-2.54177999,51.19480133,739435423.6,198850.0774
382,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36424994,51.74860001,111957018.6,66696.92959
308,E09000024,Merton, ,526069,169507,-0.18866999,51.41059875,37624739.94,32349.06014
325,N09000008,Mid and East Antrim, ,133943,560151,-6.14645004,54.86460114,1061355467,234863.3303
82,E07000042,Mid Devon, ,288064,108911,-3.59211993,50.86880112,912897719.7,246408.7935
212,E07000203,Mid Suffolk, ,611646,262338,1.09695005,52.21860123,871070645.7,191154.6732
234,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.05950165,334029222.4,132912.3734
326,N09000009,Mid Ulster, ,83920,528564,-6.8888998,54.55270004,1957293803,318433.3084
2,E06000002,Middlesbrough, ,451141,516887,-1.21098995,54.54470062,54553587.14,41055.80989
338,S12000019,Midlothian, ,330088,659217,-3.1173799,55.82109833,355271573,126471.0628
40,E06000042,Milton Keynes, ,486408,242308,-0.74070001,52.07239914,308626789.3,102960.5902
216,E07000210,Mole Valley, ,518377,148953,-0.30603001,51.22750092,258320953.5,105403.1788
379,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.90280008,51.77830124,886053488.1,251040.9364
339,S12000020,Moray, ,328024,843593,-3.20186996,57.47679901,2257090311,404432.0765
334,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65721989,58.19940186,3268473326,3723205.058
371,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638009,51.64450073,451869992.1,133805.12
118,E07000091,New Forest, ,428999,106521,-1.58936,50.85749817,776909118.3,185326.8229
192,E07000175,Newark and Sherwood, ,470624,357451,-0.94643003,53.10960007,651835337.3,179821.8914
268,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65296996,55.02099991,115117802.7,61724.79132
205,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32630992,53.0033989,210957319.4,108259.2866
309,E09000025,Newham, ,540721,183327,0.027369,51.53129959,38578079.78,31823.21207
380,W06000022,Newport,Casnewydd,337897,187433,-2.89769006,51.58229828,217767582,135978.8651
327,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.0889101,54.1495018,1682340589,380093.278
340,S12000021,North Ayrshire, ,228984,651640,-4.7247901,55.72790146,903901033.7,364069.8702
83,E07000043,North Devon, ,265110,132524,-3.92690992,51.0760994,1105045263,238471.6927
78,E07000038,North East Derbyshire, ,437369,362955,-1.44253004,53.16239929,275623524.4,161243.8795
12,E06000012,North East Lincolnshire, ,523454,404574,-0.13926999,53.52339935,203554048.2,89886.04435
125,E07000099,North Hertfordshire, ,522192,230256,-0.22314,51.95740128,375382315.8,168316.8264
162,E07000139,North Kesteven, ,502135,354788,-0.47670001,53.08060074,922471388.5,181807.8595
360,S12000050,North Lanarkshire, ,277984,665608,-4,60,472311282.1,163995.3981
13,E06000013,North Lincolnshire, ,497798,410996,-0.52410001,53.58639908,875684732.9,185646.4194
170,E07000147,North Norfolk, ,611083,330845,1.13218999,52.83380127,990397996.9,244854.4519
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.39709854,390815090,139299.6891
269,E08000022,North Tyneside, ,431471,570602,-1.50923002,55.02899933,84819234.39,66218.59208
224,E07000218,North Warwickshire, ,425570,296399,-1.62419999,52.56480026,284263709.4,113280.6784
157,E07000134,North West Leicestershire, ,439111,316252,-1.42209005,52.74250031,279328072.7,116453.2039
177,E07000154,Northampton, ,476495,260539,-0.88121003,52.2378006,80771938.79,46341.52443
54,E06000057,Northumberland, ,395323,600699,-2.07521009,55.30039978,5078180266,554965.8068
171,E07000148,Norwich, ,622355,309773,1.28498006,52.64009857,40554156.98,91965.50097
18,E06000018,Nottingham, ,456082,339969,-1.16666996,52.95420074,74613560.48,58724.23653
225,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965002,52.50090027,78950291.81,48148.70911
158,E07000135,Oadby and Wigston, ,461543,299379,-1.09300005,52.58869934,23526096.69,31172.03119
252,E08000004,Oldham, ,396603,406784,-2.0527401,53.55770111,142344917.3,71165.73154
341,S12000023,Orkney Islands, ,348291,1006584,-2.90028,58.94329834,1086209823,1589075.91
195,E07000178,Oxford, ,452277,206368,-1.24405003,51.75360107,45602912.68,34999.65522
368,W06000009,Pembrokeshire,Sir Benfro,199821,221391,-4.90818024,51.85509872,1650471882,548986.4122
145,E07000122,Pendle, ,387637,443368,-2.18956995,53.88639832,169380092.2,79243.80772
358,S12000048,Perth and Kinross, ,284304,744186,-3.88479996,56.57529831,5418944381,567462.3624
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59209824,343437864.2,112635.3046
26,E06000026,Plymouth, ,249944,58255,-4.1129899,50.4048996,84362642.99,61972.47757
42,E06000044,Portsmouth, ,465607,101357,-1.07023001,50.80799866,60144425.73,43572.83479
381,W06000023,Powys,Powys,302328,273254,-3.43532991,52.34859848,5195456317,606560.3701
146,E07000123,Preston, ,352820,436429,-2.71816993,53.8219986,142944802.3,71123.32252
36,E06000038,Reading, ,470226,173154,-0.99071002,51.45299911,40397991.83,39330.82047
310,E09000026,Redbridge, ,543512,189478,0.070085,51.58589935,56442208.88,45768.73733
3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00610995,54.56750107,253890935.1,101191.8761
238,E07000236,Redditch, ,403705,265253,-1.94710004,52.28540039,54250912.07,41301.81906
217,E07000211,Reigate and Banstead, ,525786,152574,-0.19870999,51.25849915,129143925.1,79923.6802
351,S12000038,Renfrewshire, ,239305,664698,-4.56833982,55.84859848,269237344.3,104248.8665
375,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41358995,51.62179947,424150424.4,130240.6755
147,E07000124,Ribble Valley, ,372687,447676,-2.41739988,53.92449951,584471489.1,150499.9861
311,E09000027,Richmond upon Thames, ,519005,172648,-0.28913999,51.44029999,58761172.8,52354.14966
183,E07000166,Richmondshire, ,401039,495786,-1.98552001,54.35760117,1318707276,221710.0716
253,E08000005,Rochdale, ,390315,412326,-2.14784002,53.60739899,158128175.1,82713.15473
102,E07000075,Rochford, ,585981,191420,0.68347299,51.59090042,263411108,190664.5984
148,E07000125,Rossendale, ,382827,420955,-2.26149011,53.68479919,138040909.3,71149.80481
91,E07000064,Rother, ,578730,119663,0.543064,50.94869995,518153214.5,163679.3219
266,E08000018,Rotherham, ,447542,388980,-1.28650999,53.39550018,286534367.6,106151.9642
226,E07000220,Rugby, ,446498,276244,-1.31827998,52.38230133,353557281.1,115093.6519
218,E07000212,Runnymede, ,501777,166979,-0.53855002,51.3927002,78040686.19,45677.40928
193,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.91239929,409231535.3,123324.4327
119,E07000092,Rushmoor, ,486022,153944,-0.76806998,51.27809906,39045039.76,31893.0015
17,E06000017,Rutland, ,492992,308655,-0.62629998,52.66759872,393748908.2,125885.2339
184,E07000167,Ryedale, ,475590,478890,-0.84276998,54.20019913,1506593777,249894.2931
254,E08000006,Salford, ,374556,398128,-2.38485003,53.47930145,97197278.83,63268.79412
275,E08000028,Sandwell, ,399573,290764,-2.00770998,52.51480103,85558928.16,59211.00305
185,E07000168,Scarborough, ,495797,495547,-0.52780002,54.3465004,826253507.4,259851.4151
342,S12000026,Scottish Borders, ,345891,626135,-2.85865998,55.52590179,4742684960,525406.7076
200,E07000188,Sedgemoor, ,338426,143997,-2.88250995,51.19179916,605873982.5,199261.4148
262,E08000014,Sefton, ,334264,398832,-2.99203992,53.48210144,204779724.7,124317.577
186,E07000169,Selby, ,457551,426670,-1.12908006,53.73329926,602223253.3,171511.1159
134,E07000111,Sevenoaks, ,552776,155218,0.188936,51.27560043,370346872.1,134435.5149
267,E08000019,Sheffield, ,430511,389736,-1.54253995,53.40359879,367930014.6,132837.2992
343,S12000027,Shetland Islands, ,434516,1180307,-1.37344003,60.50500107,1656616152,2211220.826
48,E06000051,Shropshire, ,350227,302960,-2.73667002,52.62210083,3197275381,580650.6785
37,E06000039,Slough, ,498920,179246,-0.57617003,51.50350189,32542008.96,44181.3937
276,E08000029,Solihull, ,419434,281483,-1.71557999,52.43099976,178282115.9,101031.4487
248,E07000246,Somerset West and Taunton, ,304960,130228,-3.35766006,51.06349945,1209486210,276125.2743
344,S12000028,South Ayrshire, ,226544,596270,-4.72901011,55.23009872,1234709932,336778.1399
59,E07000006,South Bucks, ,498198,185455,-0.58484,51.55939865,141275609.1,85473.90992
65,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.10810089,901687154.2,256919.789
79,E07000039,South Derbyshire, ,431434,325365,-1.53494,52.82490158,338128981.4,166772.6254
25,E06000025,South Gloucestershire, ,367559,183196,-2.46921992,51.54669952,536645355.7,158121.6014
84,E07000044,South Hams, ,270677,54033,-3.81994009,50.37189865,905247779.3,321910.3265
163,E07000140,South Holland, ,532909,322928,-0.03058,52.78760147,815503693.3,193039.7121
164,E07000141,South Kesteven, ,501406,328986,-0.49564999,52.84889984,942585797.7,209816.5203
71,E07000031,South Lakeland, ,349265,489554,-2.78108001,54.29909897,1743190985,322742.5962
345,S12000029,South Lanarkshire, ,284634,636071,-3.83272004,55.60449982,1774022365,284510.5069
172,E07000149,South Norfolk, ,628991,295823,1.37325001,52.5121994,908906501.4,231382.6047
